redcap_randomization_number,redcap_randomization_group,gender
,1,0
,2,0,,,"NOTES:"
,3,0,,," - Do NOT modify the first row, although you may modify, add, or delete any other row in this file."
,1,0,,," - Remember that this file is ONLY a template and should NOT be used as-is as your allocation table."
,2,0,,," - You do not have to delete this 'notes' column when uploading your allocation table (it will be ignored)."
,3,0,,," - Below is a list of all raw coded values and their corresponding option labels for each strata field and/or Data Access Groups."
,1,0
,2,0,,,"Randomization Field: ""rand_group"" (Randomization group 1)"
,3,0,,,"Your randomization field is a single-select field (for open allocation):"
,1,0,,," - Values in the redcap_randomization_number column are optional"
,2,0,,," - Values in the redcap_randomization_group column are REQUIRED and must match the values for your randomization field"
,3,0,,,"Values/labels for ""randomization_group"" (""rand_group""):"
,1,0,,,"1","Drug A"
,2,0,,,"2","Drug B"
,3,0,,,"3","Placebo"
,1,1
,2,1,,,"Values/labels for ""gender"" (Do you describe yourself as...other way?):"
,3,1,,,"0","Man"
,1,1,,,"1","Woman"
,2,1,,,"2","Other"
,3,1
,1,1
,2,1
,3,1
,1,1
,2,1
,3,1
,1,1
,2,1
,3,1
,1,2
,2,2
,3,2
,1,2
,2,2
,3,2
,1,2
,2,2
,3,2
,1,2
,2,2
,3,2
,1,2
,2,2
,3,2
